z,n,bindingEnergy(keV)
83,135,7712.828
84,135,7713.334
85,135,7703.7033
86,135,7701.3941
87,135,7690.9474
88,135,7685.3101
89,135,7670.1438
90,135,7659.2229
91,135,7641.1093
92,135,7626.2918
93,135,7604
94,135,7586.8834
95,135,7562
96,135,7542
80,136,7685
81,136,7693
82,136,7705
83,136,7700
84,136,7703.2244
85,136,7694.4754
86,136,7694.4991
87,136,7683.6655
88,136,7679.9236
89,136,7665.6906
90,136,7657.1195
91,136,7639.4945
92,136,7627.4763
93,136,7605.9921
94,136,7591.0016
95,136,7566
96,136,7548
97,136,7519
81,137,7672
82,137,7684
83,137,7681
84,137,7684.4814
85,137,7677.3878
86,137,7678.172
87,137,7670.368
88,137,7667.5866
89,137,7655.6628
90,137,7647.4591
91,137,7632.2076
92,137,7620.7218
93,137,7601.7751
94,137,7587.1224
95,137,7564
96,137,7546.002
97,137,7519
82,138,7670
83,138,7668
84,138,7674.0054
85,138,7668.0557
86,138,7670.7514
87,138,7662.9412
88,138,7661.9636
89,138,7650.7084
90,138,7645.0807
91,138,7629.8752
92,138,7620.9227
93,138,7602.1321
94,138,7588.9839
95,138,7567
96,138,7550.6868
97,138,7524
83,139,7648
84,139,7655
85,139,7650.7354
86,139,7654.3581
87,139,7648.3768
88,139,7648.3048
89,139,7639.1973
90,139,7634.651
91,139,7621.8958
92,139,7613.3879
93,139,7597
94,139,7583.7968
95,139,7564
96,139,7547
97,139,7523
98,139,7503.3507
83,140,7636
84,140,7644
85,140,7641
86,140,7646.4108
87,140,7640.7162
88,140,7642.4289
89,140,7633.2446
90,140,7630.9974
91,140,7618.4267
92,140,7611.8984
93,140,7596.1816
94,140,7584.6061
95,140,7565.1582
96,140,7550.309
97,140,7527
98,140,7509
99,140,7481
83,141,7616
84,141,7626
85,141,7624
86,141,7630.0508
87,141,7626.3689
88,141,7628.4862
89,141,7621.4604
90,141,7620.1188
91,141,7609.5072
92,141,7603.9574
93,141,7589.6382
94,141,7578.8799
95,141,7561
96,141,7546.6241
97,141,7525
98,141,7507
99,141,7481
100,141,7459
84,142,7614
85,142,7613
86,142,7621.6457
87,142,7618.338
88,142,7621.9144
89,142,7615.0768
90,142,7615.0338
91,142,7604.8675
92,142,7600.716
93,142,7587.0571
94,142,7577.9192
95,142,7561
96,142,7547.9966
97,142,7527
98,142,7510.24
99,142,7485
100,142,7465
84,143,7596
85,143,7596
86,143,7605.6227
87,143,7603.7052
88,143,7607.8418
89,143,7602.4245
90,143,7602.8937
91,143,7594.6837
92,143,7590.9151
93,143,7579.2148
94,143,7570.7599
95,143,7555.5853
96,143,7543.0659
97,143,7523
98,143,7507
99,143,7483
100,143,7464
101,143,7438
85,144,7585
86,144,7595
87,144,7594.5009
88,144,7600.0099
89,144,7595.1939
90,144,7596.8557
91,144,7588.4139
92,144,7586.4854
93,144,7574.9895
94,144,7568.3611
95,144,7553.6891
96,144,7542.8617
97,144,7524
98,144,7509.0991
99,144,7486
100,144,7468
101,144,7441
86,145,7579
87,145,7579.3481
88,145,7585.5644
89,145,7582.1297
90,145,7584.3862
91,145,7577.5573
92,145,7576.1026
93,145,7566.222
94,145,7560.3187
95,145,7547.0136
96,145,7536.8488
97,145,7519
98,145,7505
99,145,7483
100,145,7465
101,145,7441
87,146,7569.2398
88,146,7576.5439
89,146,7573.5051
90,146,7576.9688
91,146,7570.3847
92,146,7570.1262
93,146,7560.568
94,146,7556.0433
95,146,7543.2795
96,146,7534.504
97,146,7517.5021
98,146,7505.1373
99,146,7485
100,146,7467.9608
101,146,7444
102,146,7424
88,147,7561
89,147,7559.2423
90,147,7563.4433
91,147,7558.3449
92,147,7558.5624
93,147,7550.1743
94,147,7546.4395
95,147,7534.9917
96,147,7526.9261
97,147,7511.4759
98,147,7499.6644
99,147,7480.7849
100,147,7464
101,147,7442
102,147,7422
89,148,7550
90,148,7555
91,148,7550
92,148,7551.7705
93,148,7544.0426
94,148,7541.3284
95,148,7530.1742
96,148,7523.9527
97,148,7509.2714
98,148,7499.122
99,148,7480.1005
100,148,7465.9451
101,148,7444.0169
102,148,7426
103,148,7400
90,149,7540
91,149,7537
92,149,7539
93,149,7533.4042
94,149,7531.0087
95,149,7521.3095
96,149,7515.7677
97,149,7502.8035
98,149,7493.2638
99,149,7476
100,149,7461.8649
101,149,7441.6533
102,149,7423
103,149,7400
104,149,7380
91,150,7528
92,150,7532
93,150,7526
94,150,7524.8154
95,150,7515.3043
96,150,7511.4716
97,150,7498.9408
98,150,7491.044
99,150,7474
100,150,7462.0905
101,150,7441.9005
102,150,7425.7992
103,150,7402.918
104,150,7384
105,150,7359
92,151,7518
93,151,7514
94,151,7513.2822
95,151,7505
96,151,7501.9318
97,151,7490.5975
98,151,7483.3954
99,151,7469
100,151,7457.0013
101,151,7438.4444
102,151,7422.4719
103,151,7401.1306
104,151,7382
105,151,7359
93,152,7506
94,152,7506.5401
95,152,7499
96,152,7496.7291
97,152,7486.041
98,152,7479.9567
99,152,7465.8842
100,152,7456.0351
101,152,7438
102,152,7423.5909
103,152,7402.5767
104,152,7385.4349
105,152,7361.9767
106,152,7342
94,153,7493
95,153,7487
96,153,7485.551
97,153,7475.9594
98,153,7470.5014
99,153,7457.2428
100,153,7448.4712
101,153,7432
102,153,7417.9403
103,153,7398.1605
104,153,7381.7053
105,153,7359.4803
106,153,7340
107,153,7314
95,154,7479
96,154,7478.9385
97,154,7469.2637
98,154,7465.3474
99,154,7452.8879
100,154,7444.7936
101,154,7428.7333
102,154,7416.5429
103,154,7397
104,154,7382.5257
105,154,7360.3626
106,154,7342.5632
107,154,7317.3313
96,155,7466.7233
97,155,7459
98,155,7454.8297
99,155,7443.5759
100,155,7435.886
101,155,7421
102,155,7409.6587
103,155,7392
104,155,7377
105,155,7357
106,155,7339.771
107,155,7315.7331
108,155,7295
96,156,7460
97,156,7451
98,156,7449.2259
99,156,7437.8216
100,156,7431.7888
101,156,7417.5845
102,156,7407
103,156,7390
104,156,7377
105,156,7357
106,156,7341.1736
107,156,7318
108,156,7298.3762
109,156,7272
97,157,7440
98,157,7438
99,157,7428
100,157,7422.1942
101,157,7409.6615
102,157,7399.9714
103,157,7383
104,157,7371.3858
105,157,7352
106,157,7337
107,157,7315
108,157,7296.2474
109,157,7270.7598
110,157,7248
98,158,7432
99,158,7422
100,158,7418
101,158,7405
102,158,7397
103,158,7381
104,158,7370
105,158,7352
106,158,7338
107,158,7316
108,158,7298.2611
109,158,7273
110,158,7252
99,159,7412
100,159,7407
101,159,7396
102,159,7388
103,159,7374
104,159,7364
105,159,7346
106,159,7333
107,159,7313
108,159,7295
109,159,7271
110,159,7250.1551
100,160,7402
101,160,7391
102,160,7385
103,160,7371
104,160,7361
105,160,7345
106,160,7332
107,160,7313
108,160,7297
109,160,7274
110,160,7253.7634
101,161,7382
102,161,7376
103,161,7363
104,161,7354
105,161,7339
106,161,7327
107,161,7309
108,161,7294
109,161,7271
110,161,7252
111,161,7227
102,162,7371
103,162,7359
104,162,7351
105,162,7337
106,162,7326
107,162,7309
108,162,7295
109,162,7273
110,162,7255
111,162,7230
103,163,7349
104,163,7342
105,163,7328
106,163,7318
107,163,7301
108,163,7288
109,163,7267
110,163,7250
111,163,7227
104,164,7337
105,164,7323
106,164,7314
107,164,7298
108,164,7286
109,164,7265
110,164,7249
111,164,7227
112,164,7209
105,165,7314
106,165,7305
107,165,7290
108,165,7279
109,165,7259
110,165,7243
111,165,7223
112,165,7205
113,165,7181
106,166,7301
107,166,7286
108,166,7276
109,166,7257
110,166,7243
111,166,7222
112,166,7206
113,166,7183
106,167,7292
107,167,7278
108,167,7268
109,167,7250
110,167,7237
111,167,7218
112,167,7202
113,167,7180
107,168,7273
108,168,7265
109,168,7247
110,168,7236
111,168,7216
112,168,7202
113,168,7181
107,169,7265
108,169,7256
109,169,7240
110,169,7229
111,169,7212
112,169,7197
113,169,7177
107,170,7260
108,170,7252
109,170,7237
110,170,7227
111,170,7209
112,170,7197
113,170,7177
114,170,7163
107,171,7251
108,171,7243
109,171,7229
110,171,7220
111,171,7204
112,171,7192
113,171,7173
114,171,7159
108,172,7239
109,172,7225
110,172,7217
111,172,7201
112,172,7191
113,172,7172
114,172,7159
115,172,7139
109,173,7218
110,173,7210
111,173,7195
112,173,7185
113,173,7168
114,173,7155
115,173,7135
116,173,7119
110,174,7207
111,174,7192
112,174,7183
113,174,7166
114,174,7154
115,174,7135
116,174,7120
117,174,7098
111,175,7185
112,175,7176
113,175,7160
114,175,7149
115,175,7131
116,175,7116
117,175,7095
118,175,7078
112,176,7174
113,176,7158
114,176,7147
115,176,7129
116,176,7116
117,176,7095
118,176,7079
113,177,7152
114,177,7141
115,177,7124
116,177,7111
117,177,7092
118,177,7076
