z,n,bindingEnergy(keV)
35,34,8344.9026
36,34,8256
37,34,8118
17,35,7386
18,35,7677
19,35,7891
20,35,8125.926
21,35,8233.5781
22,35,8372.9008
23,35,8458.156
24,35,8568.5995
25,35,8628.1392
26,35,8703.7686
27,35,8721.3347
28,35,8763.4955
29,35,8739.0736
30,35,8724.266
31,35,8669.3631
32,35,8633.0884
33,35,8557.7457
34,35,8503.7082
35,35,8414.7964
36,35,8327.131
37,35,8202
38,35,8102
18,36,7578
19,36,7792
20,36,8033.1654
21,36,8158.1666
22,36,8307.629
23,36,8403.8034
24,36,8540.1876
25,36,8598.9157
26,36,8692.8831
27,36,8717.7972
28,36,8777.4637
29,36,8757.0967
30,36,8759.6335
31,36,8707.533
32,36,8688.1371
33,36,8611.8214
34,36,8576.0338
35,36,8481.4629
36,36,8429.3193
37,36,8305.0821
38,36,8221
39,36,8089
19,37,7663
20,37,7912
21,37,8054.9436
22,37,8218
23,37,8322.8751
24,37,8460.1734
25,37,8538.5002
26,37,8631.5499
27,37,8675.5223
28,37,8736.2424
29,37,8731.473
30,37,8734.1534
31,37,8701.2195
32,37,8680.964
33,37,8621.5541
34,37,8586.0606
35,37,8511.3126
36,37,8460.1847
37,37,8381.7123
38,37,8296.5116
39,37,8173
40,37,8075
19,38,7563
20,38,7828
21,38,7976.4073
22,38,8152.7858
23,38,8271.0417
24,38,8427.3871
25,38,8505.102
26,38,8612.3888
27,38,8656.8848
28,38,8739.5086
29,38,8737.4597
30,38,8755.682
31,38,8724.5798
32,38,8721.7028
33,38,8663.935
34,38,8644.4902
35,38,8568.0803
36,38,8533.039
37,38,8448.2762
38,38,8393.9294
39,38,8278
40,38,8194
41,38,8066
19,39,7437
20,39,7708
21,39,7873
22,39,8058
23,39,8187.7565
24,39,8347.5398
25,39,8437.4175
26,39,8546.347
27,39,8605.9419
28,39,8695.7505
29,39,8701.8913
30,39,8722.7311
31,39,8709.2808
32,39,8703.3118
33,39,8660.3786
34,39,8641.5591
35,39,8583.5615
36,39,8553.4399
37,39,8486.2161
38,39,8435.9188
39,39,8349
40,39,8267
41,39,8151
42,39,8054
19,40,7332
20,40,7627
21,40,7794
22,40,7990
23,40,8130.7809
24,40,8303.5626
25,40,8400.6822
26,40,8521.7245
27,40,8581.7422
28,40,8682.4667
29,40,8695.2044
30,40,8729.8086
31,40,8717.605
32,40,8731.7459
33,40,8689.6099
34,40,8687.7155
35,40,8627.6497
36,40,8608.8077
37,40,8537.3396
38,40,8500.0971
39,40,8416.7788
40,40,8365
41,40,8248
42,40,8163
43,40,8043
20,41,7503
21,41,7688
22,41,7891
23,41,8045
24,41,8218
25,41,8331.7986
26,41,8449.9359
27,41,8520.1301
28,41,8623.0998
29,41,8646.8655
30,41,8689.0417
31,41,8687.0893
32,41,8705.05
33,41,8680.002
34,41,8678.9139
35,41,8635.883
36,41,8616.837
37,41,8558.3512
38,41,8523.8558
39,41,8454.2759
40,41,8395.1519
41,41,8312
42,41,8234
43,41,8120
44,41,8027
21,42,7603
22,42,7826
23,42,7981
24,42,8168
25,42,8281
26,42,8418
27,42,8495.4062
28,42,8604.2917
29,42,8635.0233
30,42,8691.8053
31,42,8693.874
32,42,8725.2011
33,42,8700.8748
34,42,8711.4781
35,42,8666.8073
36,42,8661.2385
37,42,8601.1401
38,42,8578.5966
39,42,8505.9031
40,42,8465.4666
41,42,8378.9889
42,42,8325
43,42,8215
44,42,8133
22,43,7726
23,43,7894
24,43,8079
25,43,8209
26,43,8345
27,43,8434.198
28,43,8543.1564
29,43,8586.5256
30,43,8648.3455
31,43,8663.1676
32,43,8695.6096
33,43,8682.8172
34,43,8694.6908
35,43,8661.9594
36,43,8657.113
37,43,8611.676
38,43,8587.3545
39,43,8529.2762
40,43,8488.3997
41,43,8417.9563
42,43,8361.332
43,43,8280
44,43,8201
45,43,8090
23,44,7829
24,44,8026
25,44,8155
26,44,8308
27,44,8398.7344
28,44,8520.2118
29,44,8568.5699
30,44,8642.7547
31,44,8660.7565
32,44,8705.2364
33,44,8695.9789
34,44,8717.8072
35,44,8687.5956
36,44,8692.9301
37,44,8645.5139
38,44,8635.719
39,44,8573.6571
40,44,8549.0301
41,44,8473.7117
42,44,8434.7175
43,44,8347.7449
44,44,8298
45,44,8189
46,44,8113
24,45,7939
25,45,8084
26,45,8235
27,45,8338
28,45,8457.6529
29,45,8521.5633
30,45,8592.4981
31,45,8624.5272
32,45,8671.0293
33,45,8673.876
34,45,8695.5923
35,45,8677.6541
36,45,8682.8206
37,45,8647.4275
38,45,8638.4076
39,45,8587.7812
40,45,8564.0394
41,45,8502.2231
42,45,8462.4243
43,45,8389.8338
44,45,8340.376
45,45,8254
46,45,8183
47,45,8080
24,46,7884
25,46,8030
26,46,8195
27,46,8302
28,46,8433
29,46,8495.0801
30,46,8582.2735
31,46,8613.3907
32,46,8671.6636
33,46,8676.6172
34,46,8710.8142
35,46,8695.9465
36,46,8710.6754
37,46,8675.2193
38,46,8677.5132
39,46,8628.1486
40,46,8614.0523
41,46,8551.7579
42,46,8523.9087
43,46,8450.5758
44,46,8409.7684
45,46,8328
46,46,8275.5695
47,46,8175
48,46,8102
25,47,7955
26,47,8121
27,47,8239
28,47,8369
29,47,8443.6018
30,47,8530.0037
31,47,8577.1043
32,47,8634.5089
33,47,8651.2824
34,47,8685.9998
35,47,8682.4953
36,47,8695.7295
37,47,8676.2244
38,47,8675.7193
39,47,8638.4293
40,47,8623.6545
41,47,8572.4013
42,47,8544.9851
43,47,8483.36
44,47,8442.9287
45,47,8373.4211
46,47,8318.5637
47,47,8238
48,47,8171
49,47,8069
25,48,7895
26,48,8076
27,48,8197
28,48,8338
29,48,8411.2501
30,48,8507.38
31,48,8556.0725
32,48,8627.5707
33,48,8648.0571
34,48,8693.1973
35,48,8693.3852
36,48,8717.4473
37,48,8697.4416
38,48,8708.4566
39,48,8674.8451
40,48,8666.0339
41,48,8616.8184
42,48,8597.0285
43,48,8536.6558
44,48,8504.774
45,48,8434.8255
46,48,8391.6832
47,48,8315
48,48,8259
49,48,8165
26,49,7996
27,49,8131
28,49,8272
