z,n,bindingEnergy(keV),xx,yy,zz
15,9,6165.0,9,15,0.29899811309394775
3,10,3507.6307,10,3,0.6011588419676241
4,10,4993.8973,10,4,0.4321603519359223
5,10,5880.0438,10,5,0.3313995460032062
6,10,6922.0546,10,6,0.21291592281156224
7,10,7286.2294,10,7,0.1715068032716378
8,10,7767.0981,10,8,0.11682880391169292
9,10,7779.0192,10,9,0.11547329481291013
10,10,8032.2412,10,10,0.08668025348182751
11,10,7765.5581,10,11,0.11700391225002793
12,10,7662.7645,10,12,0.1286922346444911
13,10,7335.7275,10,13,0.1658785370107677
14,10,7167.2329,10,14,0.18503750416948306
15,10,6794.0,10,15,0.2274765904882856
16,10,6525.0,10,16,0.2580636963403097
4,11,4540.9708,11,4,0.4836611355741629
5,11,5507.3535,11,5,0.373776935059424
6,11,6558.0262,11,6,0.25430839568867347
7,11,7038.5627,11,7,0.19966816969885515
8,11,7566.4952,11,8,0.13963870032999393
9,11,7720.1351,11,9,0.12216881228391818
10,11,7971.7136,11,10,0.09356264793598723
11,11,7915.6624,11,11,0.09993604565915815
12,11,7901.1229,11,12,0.10158928441579562
13,11,7649.5806,11,13,0.13019133258070859
14,11,7480.1109,11,14,0.14946117515546986
15,11,7198.0,11,15,0.18153907835364735
16,11,6960.0,11,16,0.20860127609633028
17,11,6587.0,11,17,0.2510138801216275
18,11,6276.0,11,18,0.2863766679282427
4,12,4285.2851,12,4,0.5127343161345677
5,12,5269.6677,12,5,0.40080340615281806
6,12,6426.1321,12,6,0.2693056402907459
7,12,6948.5452,12,7,0.20990376375474584
8,12,7568.5707,12,8,0.13940270204673788
9,12,7738.2934,12,9,0.12010409167353608
10,12,8080.4656,12,10,0.08119681546156599
11,12,8111.4936,12,11,0.07766872356425525
12,12,8260.7103,12,12,0.06070178305202578
13,12,8021.1366,12,13,0.08794292104927881
14,12,7924.7083,12,14,0.09890746610218104
15,12,7661.0894,12,15,0.12888270475978014
16,12,7478.7911,12,16,0.14961124527555714
17,12,7129.0,12,17,0.18938484156476132
18,12,6866.0,12,18,0.21928970713755802
19,12,6487.0,12,19,0.2623845514420826
5,13,4976.6306,13,5,0.4341236916408111
6,13,6118.274,13,6,0.30431117297514354
7,13,6709.1717,13,7,0.23712213766801526
8,13,7389.3747,13,8,0.15977849022614043
9,13,7624.2954,13,9,0.13306642956542836
10,13,7955.2561,13,10,0.0954339761685512
11,13,8063.4882,13,11,0.083127259814325
12,13,8223.5028,13,12,0.06493252558358409
