z,n,bindingEnergy(keV),xx,yy,zz
25,36,8598.9157,36,25,0.022245558629995665
26,36,8692.8831,36,26,0.01156083442761846
27,36,8717.7972,36,27,0.008727934004168825
28,36,8777.4637,36,28,0.0019434524007495568
29,36,8757.0967,36,29,0.004259317028586618
30,36,8759.6335,36,30,0.003970865838529347
31,36,8707.533,36,31,0.009895042449843072
32,36,8688.1371,36,32,0.012100486488487161
33,36,8611.8214,36,33,0.020778093901391514
34,36,8576.0338,36,34,0.024847384270870854
35,36,8481.4629,36,35,0.03560073047466694
36,36,8429.3193,36,36,0.0415298078453199
37,36,8305.0821,36,37,0.05565641151505618
38,36,8221.0,36,38,0.06521711074539249
39,36,8089.0,36,39,0.08022639688839306
19,37,7663.0,37,19,0.12866545671353147
20,37,7912.0,37,20,0.10035248512559847
21,37,8054.9436,37,21,0.08409883819597264
22,37,8218.0,37,22,0.06555823088500612
23,37,8322.8751,37,23,0.053633227967007646
24,37,8460.1734,37,24,0.03802148954543527
25,37,8538.5002,37,25,0.029115206561605045
26,37,8631.5499,37,26,0.018534831009935693
27,37,8675.5223,37,27,0.013534873934219815
28,37,8736.2424,37,28,0.00663059093776841
29,37,8731.473,37,29,0.007172903735726099
30,37,8734.1534,37,30,0.0068681242616527305
31,37,8701.2195,37,31,0.010612929783660019
32,37,8680.964,37,32,0.012916116112974718
33,37,8621.5541,37,33,0.01967142057378579
34,37,8586.0606,37,34,0.023707269798911357
35,37,8511.3126,37,35,0.03220661919752521
36,37,8460.1847,37,36,0.03802020465957612
37,37,8381.7123,37,37,0.04694304334084887
38,37,8296.5116,37,38,0.0566309349005758
39,37,8173.0,37,39,0.07067503297921085
40,37,8075.0,37,40,0.08181829087325676
19,38,7563.0,38,19,0.14003612803398657
20,38,7828.0,38,20,0.10990384903478068
21,38,7976.4073,38,21,0.09302894273621909
22,38,8152.7858,38,22,0.07297352322127038
23,38,8271.0417,38,23,0.05952703351522437
24,38,8427.3871,38,24,0.041749511956573615
25,38,8505.102,38,25,0.03291280611055325
26,38,8612.3888,38,26,0.020713576712319326
27,38,8656.8848,38,27,0.01565408280156977
28,38,8739.5086,38,28,0.0062592020710996454
29,38,8737.4597,38,29,0.006492175755784424
30,38,8755.682,38,30,0.004420177915756995
31,38,8724.5798,38,31,0.007956706851187767
32,38,8721.7028,38,32,0.008283841065077291
33,38,8663.935,38,33,0.01485242773213502
34,38,8644.4902,38,34,0.017063432029054804
35,38,8568.0803,38,35,0.025751750614343205
36,38,8533.039,38,36,0.029736181663757688
37,38,8448.2762,38,37,0.039374281053772386
38,38,8393.9294,38,38,0.04555387705495739
39,38,8278.0,38,39,0.058735828092733144
40,38,8194.0,38,40,0.06828719200191535
41,38,8066.0,38,41,0.08284165129209775
19,39,7437.0,39,19,0.1543631738977599
20,39,7708.0,39,20,0.12354865461932674
21,39,7873.0,39,21,0.10478704694057595
22,39,8058.0,39,22,0.0837513049977342
23,39,8187.7565,39,23,0.06899711986580792
24,39,8347.5398,39,24,0.0508286859978313
25,39,8437.4175,39,25,0.04060898814044678
26,39,8546.347,39,26,0.02822297272443164
27,39,8605.9419,39,27,0.021446632521677778
28,39,8695.7505,39,28,0.011234791798175658
29,39,8701.8913,39,29,0.010536541613729189
30,39,8722.7311,39,30,0.008166916451888828
31,39,8709.2808,39,31,0.00969630585650405
32,39,8703.3118,39,32,0.010375021227622128
33,39,8660.3786,39,33,0.015256814286975673
34,39,8641.5591,39,34,0.017396717776128612
35,39,8583.5615,39,35,0.023991434245880905
36,39,8553.4399,39,36,0.027416462378343165
37,39,8486.2161,39,37,0.03506025972546323
38,39,8435.9188,39,38,0.04077940039152639
39,39,8349.0,39,39,0.050662651455209984
40,39,8267.0,39,40,0.05998660193798311
41,39,8151.0,39,41,0.073176580669711
42,39,8054.0,39,42,0.08420613185055237
19,40,7332.0,40,19,0.1663023787842376
20,40,7627.0,40,20,0.13275889838889532
21,40,7794.0,40,21,0.11376987728373544
22,40,7990.0,40,22,0.09148336149564351
23,40,8130.7809,40,23,0.07547562807466512
24,40,8303.5626,40,24,0.055829188865770596
25,40,8400.6822,40,25,0.04478603836202988
26,40,8521.7245,40,26,0.031022716270310613
27,40,8581.7422,40,27,0.02419830086921393
28,40,8682.4667,40,28,0.01274524903504215
29,40,8695.2044,40,29,0.011296887034256575
30,40,8729.8086,40,30,0.00736215718918376
31,40,8717.605,40,31,0.008749788434446848
32,40,8731.7459,40,32,0.007141873173692526
33,40,8689.6099,40,33,0.011933019241279541
34,40,8687.7155,40,34,0.01214842523877413
35,40,8627.6497,40,35,0.01897830993277605
36,40,8608.8077,40,36,0.021120771822976225
37,40,8537.3396,40,37,0.02924717457295034
38,40,8500.0971,40,38,0.03348189683947067
39,40,8416.7788,40,39,0.04295574688226145
40,40,8365.0,40,40,0.0488433440439372
41,40,8248.0,40,41,0.06214702948886963
42,40,8163.0,40,42,0.07181210011125638
43,40,8043.0,40,43,0.08545690569580244
20,41,7503.0,41,20,0.14685853082625955
21,41,7688.0,41,21,0.1258227888834177
22,41,7891.0,41,22,0.10274032610289408
23,41,8045.0,41,23,0.08522949226939336
24,41,8218.0,41,24,0.06555823088500612
25,41,8331.7986,41,25,0.05261856611172677
26,41,8449.9359,41,26,0.03918556202186685
27,41,8520.1301,41,27,0.031204010253844006
28,41,8623.0998,41,28,0.019495664107185506
29,41,8646.8655,41,29,0.01679334447318004
30,41,8689.0417,41,30,0.011997627395722299
31,41,8687.0893,41,31,0.012219628382582948
32,41,8705.05,41,32,0.01017737621873005
33,41,8680.002,41,33,0.013025501971077436
34,41,8678.9139,41,34,0.013149226245715462
35,41,8635.883,41,35,0.018042128450949102
36,41,8616.837,41,36,0.020207786510642922
37,41,8558.3512,41,37,0.0268580145977817
38,41,8523.8558,41,38,0.03078037315245785
39,41,8454.2759,41,39,0.038692074886559014
40,41,8395.1519,41,40,0.045414870598064816
41,41,8312.0,41,41,0.05486979984377838
42,41,8234.0,41,42,0.06373892347373333
43,41,8120.0,41,43,0.07670148877905203
44,41,8027.0,41,44,0.08727621310707523
21,42,7603.0,42,21,0.13548785950580455
22,42,7826.0,42,22,0.11013126246118976
23,42,7981.0,42,23,0.0925067219144845
24,42,8168.0,42,24,0.07124356654523367
25,42,8281.0,42,25,0.05839470795311941
26,42,8418.0,42,26,0.04281688824409602
27,42,8495.4062,42,27,0.03401528366044204
28,42,8604.2917,42,28,0.021634271339807998
29,42,8635.0233,42,29,0.018139882112290895
30,42,8691.8053,42,30,0.011683387523110267
31,42,8693.874,42,31,0.011448162445503951
32,42,8725.2011,42,32,0.007886060870273659
33,42,8700.8748,42,33,0.010652124487701586
34,42,8711.4781,42,34,0.009446458095579757
35,42,8666.8073,42,35,0.014525827939797509
36,42,8661.2385,42,36,0.015159037884291182
37,42,8601.1401,42,37,0.021992629417143306
38,42,8578.5966,42,38,0.024555976706270077
39,42,8505.9031,42,39,0.032821715662605166
40,42,8465.4666,42,40,0.03741961717110098
41,42,8378.9889,42,41,0.047252712203590064
42,42,8325.0,42,42,0.05339161257211922
43,42,8215.0,42,43,0.06589935102461975
44,42,8133.0,42,44,0.07522330150739287
22,43,7726.0,43,22,0.12150193378164487
23,43,7894.0,43,23,0.10239920596328034
24,43,8079.0,43,24,0.08136346402043859
25,43,8209.0,43,25,0.06658159130384711
26,43,8345.0,43,26,0.051117478308028264
27,43,8434.198,43,27,0.04097506690360875
28,43,8543.1564,43,28,0.02858576536358215
29,43,8586.5256,43,29,0.023654396177271164
30,43,8648.3455,43,30,0.016625058537637405
31,43,8663.1676,43,31,0.014939686263848118
32,43,8695.6096,43,32,0.011250813074066168
33,43,8682.8172,43,33,0.01270539483206412
34,43,8694.6908,43,34,0.01135528680215847
35,43,8661.9594,43,35,0.01507706671474196
36,43,8657.113,43,36,0.015628134929616566
37,43,8611.676,43,37,0.02079462685749167
38,43,8587.3545,43,38,0.02356014468269607
39,43,8529.2762,43,39,0.030164037284203915
40,43,8488.3997,43,40,0.034811969746509686
41,43,8417.9563,43,41,0.04282185722746312
42,43,8361.332,43,42,0.049260420267971505
43,43,8280.0,43,43,0.05850841466632395
44,43,8201.0,43,44,0.06749124500948345
45,43,8090.0,43,45,0.08011269017518852
23,44,7829.0,44,23,0.10979014232157613
24,44,8026.0,44,24,0.08738991982027977
25,44,8155.0,44,25,0.07272175381689283
26,44,8308.0,44,26,0.055324626696596546
27,44,8398.7344,44,27,0.0450075162980097
28,44,8520.2118,44,28,0.0311947204153753
29,44,8568.5699,44,29,0.02569607980755817
30,44,8642.7547,44,30,0.017260770029821404
31,44,8660.7565,44,31,0.015213844520055697
32,44,8705.2364,44,32,0.0101561812873886
33,44,8695.9789,44,33,0.011208821184879758
34,44,8717.8072,44,34,0.00872679693703693
35,44,8687.5956,44,35,0.01216205867368736
36,44,8692.9301,44,36,0.011555490212097785
37,44,8645.5139,44,37,0.016947030466747393
38,44,8635.719,44,38,0.01806077635191472
39,44,8573.6571,44,39,0.02511763101614406
40,44,8549.0301,44,40,0.02791788624223257
41,44,8473.7117,44,41,0.03648209395005819
42,44,8434.7175,44,42,0.040915996266098875
43,44,8347.7449,44,43,0.0508053647509531
44,44,8298.0,44,44,0.05646169382864208
45,44,8189.0,44,45,0.06885572556793806
46,44,8113.0,44,46,0.07749743577148394
24,45,7939.0,45,24,0.0972824038690756
25,45,8084.0,45,25,0.08079493045441588
26,45,8235.0,45,26,0.06362521676052879
27,45,8338.0,45,27,0.05191342530046006
28,45,8457.6529,45,28,0.038308087316067496
29,45,8521.5633,45,29,0.031041045792479238
30,45,8592.4981,45,30,0.02297528283265704
31,45,8624.5272,45,31,0.0193333591447572
32,45,8671.0293,45,32,0.014045758196647995
33,45,8673.876,45,33,0.013722069296168593
34,45,8695.5923,45,34,0.011252780200204593
35,45,8677.6541,45,35,0.013292473963010476
36,45,8682.8206,45,36,0.012705008229239256
37,45,8647.4275,45,37,0.016729441300359138
38,45,8638.4076,45,38,0.017755064482792737
39,45,8587.7812,45,39,0.023511626028171695
40,45,8564.0394,45,40,0.026211228071731485
41,45,8502.2231,45,41,0.033240156367198015
42,45,8462.4243,45,42,0.03776554710468305
43,45,8389.8338,45,43,0.04601957426955805
44,45,8340.376,45,44,0.05164325814988602
45,45,8254.0,45,45,0.06146478920964227
46,45,8183.0,45,46,0.06953796584716532
47,45,8080.0,45,47,0.08124975730723405
24,46,7884.0,46,24,0.10353627309532587
25,46,8030.0,46,25,0.0869350929674616
26,46,8195.0,46,26,0.06817348528871081
27,46,8302.0,46,27,0.05600686697582391
28,46,8433.0,46,28,0.041111287546027775
29,46,8495.0801,46,29,0.03405236341961815
30,46,8582.2735,46,30,0.024137888492488435
31,46,8613.3907,46,31,0.020599653956359765
32,46,8671.6636,46,32,0.0139736340284623
33,46,8676.6172,46,33,0.013410376453932171
34,46,8710.8142,46,34,0.009521947982476187
35,46,8695.9465,46,35,0.011212505282387486
36,46,8710.6754,46,36,0.00953773047426898
37,46,8675.2193,46,37,0.013569327068320813
38,46,8677.5132,46,38,0.013308495238901097
39,46,8628.1486,46,39,0.018921581653558284
40,46,8614.0523,46,40,0.02052442559490364
41,46,8551.7579,46,41,0.02760771706995313
42,46,8523.9087,46,42,0.03077435806732931
43,46,8450.5758,46,43,0.03911280109608717
44,46,8409.7684,46,44,0.043752876424510534
45,46,8328.0,46,45,0.05305049243250559
46,46,8275.5695,46,46,0.059012192259176754
47,46,8175.0,46,47,0.07044761955280177
48,46,8102.0,46,48,0.0787482096167339
25,47,7955.0,47,25,0.09546309645780282
26,47,8121.0,47,26,0.07658778206584749
27,47,8239.0,47,27,0.06317038990771051
28,47,8369.0,47,28,0.04838851719111903
29,47,8443.6018,47,29,0.03990579171397579
30,47,8530.0037,47,30,0.030081315650347662
31,47,8577.1043,47,31,0.024725661234385243
32,47,8634.5089,47,32,0.01819837284556336
33,47,8651.2824,47,33,0.016291113291626913
34,47,8685.9998,47,34,0.012343511846619304
35,47,8682.4953,47,35,0.012741997023044571
36,47,8695.7295,47,36,0.011237179639152939
37,47,8676.2244,47,37,0.013455040450879086
38,47,8675.7193,47,38,0.013512473711718598
39,47,8638.4293,47,39,0.017752597047116292
40,47,8623.6545,47,40,0.019432590993370802
41,47,8572.4013,47,41,0.025260423906586338
42,47,8544.9851,47,42,0.02837782989714499
43,47,8483.36,47,43,0.03538501746904654
44,47,8442.9287,47,44,0.03998232770263377
45,47,8373.4211,47,45,0.04788580844137047
46,47,8318.5637,47,46,0.05412346309031757
47,47,8238.0,47,47,0.06328409662091505
48,47,8171.0,47,48,0.07090244640561993
49,47,8069.0,47,49,0.08250053115248412
25,48,7895.0,48,25,0.1022854992500758
26,48,8076.0,48,26,0.08170458416005222
27,48,8197.0,48,27,0.06794607186230162
28,48,8338.0,48,28,0.05191342530046006
29,48,8411.2501,48,29,0.04358439718755558
30,48,8507.38,48,30,0.032653782217873406
31,48,8556.0725,48,31,0.02711711808516082
32,48,8627.5707,48,32,0.018987292763119168
33,48,8648.0571,48,33,0.016657851553725567
34,48,8693.1973,48,34,0.01152510777832949
35,48,8693.3852,48,35,0.011503742286918306
36,48,8717.4473,48,36,0.008767719983119204
37,48,8697.4416,48,37,0.011042502375475438
38,48,8708.4566,48,38,0.009790022929527353
39,48,8674.8451,48,39,0.013611876120401933
40,48,8666.0339,48,40,0.014613768711789876
41,48,8616.8184,48,41,0.020209901455508494
42,48,8597.0285,48,42,0.02246014593915524
43,48,8536.6558,48,43,0.02932492722343949
44,48,8504.774,48,44,0.032950101912484486
45,48,8434.8255,48,45,0.04090371594107278
46,48,8391.6832,48,46,0.0458092850741576
47,48,8315.0,48,47,0.05452867970416475
48,48,8259.0,48,48,0.06089625564361956
49,48,8165.0,48,49,0.0715846866848473
26,49,7996.0,49,26,0.09080112121641626
27,49,8131.0,49,27,0.07545071493380195
28,49,8272.0,49,28,0.0594180683719604
29,49,8354.6695,49,29,0.05001799124469686
30,49,8450.5825,49,30,0.03911203926110873
31,49,8508.4545,49,31,0.03253160435453506
32,49,8580.6587,49,32,0.024321502092971126
33,49,8611.4153,49,33,0.020824270197624006
34,49,8658.556,49,34,0.015464056142462268
35,49,8671.3294,49,35,0.014011634812015172
36,49,8698.5633,49,36,0.01091495755527394
37,49,8696.9014,49,37,0.011103926741948489
38,49,8705.2363,49,38,0.010156192658059893
39,49,8682.5396,49,39,0.012736959815649596
40,49,8673.3865,49,40,0.013777728732282113
41,49,8633.377,49,41,0.01832707747423956
42,49,8613.6286,49,42,0.020572603129288436
43,49,8563.544,49,43,0.026267558377452982
44,49,8531.4627,49,44,0.029915417555782087
45,49,8472.4033,49,45,0.03663086781361491
46,49,8428.9807,49,46,0.0415683089384109
47,49,8360.2903,49,47,0.04937886855111662
48,49,8310.3013,49,48,0.05506295343749901
49,49,8230.0,49,49,0.0641937503265515
50,49,8161.0,49,50,0.07203951353766547
26,50,7943.0,50,26,0.09682757701625744
27,50,8082.0,50,27,0.08102234388082497
28,50,8238.0,50,28,0.06328409662091505
29,50,8320.938,50,29,0.05385348924115607
30,50,8423.5457,50,30,0.042186304924677565
31,50,8483.3576,50,31,0.03538529036515847
32,50,8563.7567,50,32,0.026243372959554367
33,50,8599.654,50,33,0.022161608963636614
34,50,8658.7935,50,34,0.015437050798076224
35,50,8673.5926,50,35,0.013754293778690752
36,50,8712.0295,50,36,0.009383760213918735
37,50,8710.9843,50,37,0.009502606470560115
38,50,8732.5958,50,38,0.0070452338381401525
39,50,8714.011,50,39,0.00915845036170393
40,50,8709.9699,50,40,0.009617950560434796
41,50,8670.8983,50,41,0.01406065377607768
42,50,8657.7312,50,42,0.015557841439513331
43,50,8608.5782,50,43,0.021146867513656686
44,50,8583.662,50,44,0.023980006721203817
45,50,8525.3707,50,45,0.030608118852624266
46,50,8490.0207,50,46,0.03462765116440525
47,50,8423.2121,50,47,0.042224237484202565
48,50,8378.2953,50,48,0.047331579179868744
49,50,8304.0,50,49,0.055779453549414826
50,50,8251.626,50,50,0.061734728946789885
27,51,7997.0,51,27,0.09068741450321172
28,51,8150.0,51,28,0.07329028738291554
29,51,8246.0,51,29,0.062374442915278716
30,51,8351.9262,51,30,0.050329922871030885
31,51,8421.0494,51,31,0.04247015099285012
32,51,8504.3462,51,32,0.03299874564439331
33,51,8547.9385,51,33,0.028042008490366643
34,51,8610.3045,51,34,0.020950575614651634
35,51,8632.3659,51,35,0.01844204633196067
36,51,8675.284,51,36,0.013561970243976651
37,51,8681.1154,51,37,0.012898900916595513
38,51,8705.923,51,38,0.010078110258102235
39,51,8693.3778,51,39,0.011504583716596017
40,51,8693.3149,51,40,0.011511735868856676
41,51,8662.3731,51,41,0.015030026247489059
42,51,8651.4095,51,42,0.01627666116837867
43,51,8608.7373,51,43,0.021128776775585778
44,51,8587.4706,51,44,0.02354694333329299
45,51,8534.6735,51,45,0.029550328041024865
46,51,8502.4303,51,46,0.03321659633622198
47,51,8441.6866,51,47,0.040123562811105074
48,51,8398.3734,51,48,0.04504856442147642
49,51,8329.7495,51,49,0.05285156253775425
50,51,8281.103,51,50,0.05838299616165943
51,51,8181.0,51,51,0.06976537927357451
28,52,8088.0,52,28,0.0803401036015976
29,52,8185.0,52,29,0.06931055242075623
30,52,8301.1175,52,30,0.05610721315022682
31,52,8372.5756,52,31,0.04798194746738482
32,52,8465.5244,52,32,0.03741304492307773
33,52,8510.9851,52,33,0.032243858146099647
34,52,8581.8224,52,34,0.024189181590815068
35,52,8605.9105,52,35,0.02145020291247246
36,52,8656.8499,52,36,0.01565805116586061
37,52,8664.1895,52,37,0.014823489373624432
38,52,8696.0043,52,38,0.011205933034364235
39,52,8684.9421,52,39,0.012463779437175693
40,52,8692.6783,52,40,0.011584121562482674
41,52,8664.1849,52,41,0.01482401242450515
42,52,8662.3341,52,42,0.015034460809304151
43,52,8622.6911,52,43,0.019542136040872182
44,52,8609.413,52,44,0.021051945149473394
45,52,8559.8949,52,45,0.026682485544607837
46,52,8533.8999,52,46,0.02963829155435993
47,52,8474.7744,52,47,0.03636125782593558
48,52,8437.7375,52,48,0.04057260199222135
49,52,8370.426,52,49,0.04822637141808939
50,52,8324.4313,52,50,0.053456277579918665
51,52,8234.0,52,51,0.06373892347373333
52,52,8157.3256,52,52,0.07245731748466422
28,53,8000.0,53,28,0.09034629436359809
29,53,8108.0,53,29,0.07806596933750665
30,53,8226.0,53,30,0.06464857717936967
31,53,8307.525,53,31,0.055378637385368745
32,53,8401.7689,53,32,0.044662473276790515
33,53,8456.7215,53,33,0.0384139937487461
34,53,8529.092,53,34,0.030184982060776133
35,53,8563.7479,53,35,0.02624437357863052
36,53,8614.8158,53,36,0.020437610519371874
37,53,8631.5262,53,37,0.01853752585903856
38,53,8663.8759,53,38,0.01485914779888553
39,53,8661.5894,53,39,0.015119138198627535
40,53,8671.6207,53,40,0.013978512046458835
41,53,8648.9014,53,41,0.016561848975766846
42,53,8648.7212,53,42,0.01658233892548644
43,53,8614.8673,53,43,0.020431754623641885
44,53,8604.2799,53,44,0.02163561307902384
45,53,8560.8038,53,45,0.026579137512976136
46,53,8537.9332,53,46,0.02917967826799217
47,53,8484.9947,53,47,0.03519914110497124
48,53,8450.3657,53,48,0.03913669087653149
49,53,8388.5719,53,49,0.04616306077095078
50,53,8343.0,53,50,0.05134489173443735
51,53,8258.0,53,51,0.0610099623568241
52,53,8186.8368,53,52,0.0691016959299422
53,53,8089.0,53,53,0.08022639688839306
28,54,7935.0,54,28,0.09773723072189378
29,54,8044.0,54,29,0.0853431989825979
30,54,8171.0,54,30,0.07090244640561993
31,54,8253.5687,54,31,0.061513830915047474
32,54,8354.63,54,32,0.05002248265986853
33,54,8413.8521,54,33,0.043288532319797235
34,54,8495.0045,54,34,0.0340609596471364
35,54,8530.7802,54,35,0.02999302238754431
36,54,8591.2599,54,36,0.023116074484947124
37,54,8607.5621,54,37,0.02126240490494391
38,54,8648.907,54,38,0.016561212218173083
39,54,8648.9054,54,39,0.01656139414891411
40,54,8666.8016,54,40,0.014526476068062788
41,54,8647.2133,54,41,0.016753797278327598
42,54,8653.988,54,42,0.01598346840838072
43,54,8623.7254,54,43,0.019424529187404782
44,54,8620.314,54,44,0.019812428268830673
45,54,8580.1959,54,45,0.024374125559842086
46,54,8563.5652,54,46,0.026265147795133115
47,54,8512.5465,54,47,0.032066316484101964
48,54,8484.1322,54,48,0.03529721314511014
49,54,8423.7199,54,49,0.04216649721523735
50,54,8383.9114,54,50,0.046692990907840626
51,54,8300.9923,54,51,0.056121449230720155
52,54,8236.7682,54,52,0.06342416055024047
53,54,8146.0,54,53,0.07374511423573371
54,54,8074.8886,54,54,0.08183095780110772
29,55,7965.0,55,29,0.09432602932575729
30,55,8090.0,55,30,0.08011269017518852
31,55,8182.0,55,31,0.06965167256036997
32,55,8285.0,55,32,0.05793988110030124
33,55,8351.0,55,33,0.0504352380288009
34,55,8435.2799,55,34,0.0408520476105928
35,55,8478.1865,55,35,0.03597327914981041
36,55,8541.7519,55,36,0.028745466442277934
37,55,8569.4225,55,37,0.025599133463879986
38,55,8612.7875,55,38,0.020668241845764657
39,55,8622.8068,55,39,0.019528980174154387
40,55,8643.5924,55,40,0.017165517916169937
41,55,8628.8868,55,41,0.018837643357870637
42,55,8635.0926,55,42,0.018132002237065903
43,55,8610.0047,55,43,0.020984664887270466
44,55,8608.7132,55,44,0.021131517107374043
45,55,8575.1732,55,45,0.02494524026825473
46,55,8560.8644,55,46,0.026572246886155892
47,55,8517.165,55,47,0.03154116202916679
48,55,8489.7547,55,48,0.03465789715011758
49,55,8435.238,55,49,0.04085681192187607
50,55,8397.229,55,50,0.045178690384067854
51,55,8322.0124,55,51,0.05373132274848924
52,55,8258.0,55,52,0.0610099623568241
53,55,8176.0,55,53,0.07033391283959722
54,55,8107.3071,55,54,0.07814475671908605
30,56,8032.0,56,30,0.08670767954105241
31,56,8124.0,56,31,0.07624666192623386
32,56,8236.0,56,32,0.06351151004732425
33,56,8304.0,56,33,0.055779453549414826
34,56,8395.7672,56,34,0.0453449068574302
35,56,8441.9242,56,35,0.04009654609604785
36,56,8512.675,56,36,0.03205170517145539
37,56,8540.9209,56,37,0.028839956720950966
38,56,8593.8344,56,38,0.02282333655180191
39,56,8604.9644,56,39,0.021557780833835194
40,56,8635.3283,56,40,0.018105201564763695
41,56,8623.1384,56,41,0.01949127502805581
42,56,8635.1691,56,42,0.018123303673505897
43,56,8613.6105,56,43,0.02057466122079732
44,56,8619.3593,56,44,0.019920984067927083
45,56,8588.2172,56,45,0.023462049901214588
46,56,8580.2887,56,46,0.024363573576856812
47,56,8537.652,56,47,0.029211652595745208
48,56,8517.6232,56,48,0.03148906161317655
49,56,8464.7045,56,49,0.037506273057234196
50,56,8432.0383,56,50,0.04122063929211661
51,56,8358.7344,56,51,0.04955578482619172
52,56,8303.7221,56,52,0.05581105264501429
53,56,8220.0164,56,53,0.06532895266850036
54,56,8159.2808,56,54,0.07223499811900669
55,56,8070.0,56,55,0.08238682443927958
31,57,8050.0,57,31,0.08466095870337054
32,57,8161.0,57,32,0.07203951353766547
33,57,8240.0,57,33,0.06305668319450597
34,57,8334.8382,57,34,0.05227294318627018
35,57,8384.9123,57,35,0.04657918185859422
36,57,8458.1085,57,36,0.03825628253753133
37,57,8492.7644,57,37,0.034315674055385825
38,57,8549.0875,57,38,0.027911359476894604
39,57,8569.4269,57,39,0.025598633154341965
40,57,8603.7182,57,40,0.02169948213983086
41,57,8596.3016,57,41,0.02254279934898351
42,57,8607.7982,57,42,0.021235558749956307
43,57,8595.1184,57,43,0.022677337132047337
44,57,8601.366,57,44,0.021966943070630518
45,57,8576.9818,57,45,0.02473959030675299
46,57,8571.0173,57,46,0.02541779399766153
47,57,8536.185,57,47,0.029378460344016366
48,57,8516.8532,57,48,0.03157661578234405
49,57,8470.1213,57,49,0.03689034653314771
50,57,8439.4946,57,50,0.04037280792644948
51,57,8372.6666,57,51,0.04797160015648316
52,57,8319.3305,57,52,0.054036272782632455
53,57,8244.0767,57,53,0.0625931350367851
54,57,8182.0,57,54,0.06965167256036997
55,57,8102.0,57,55,0.0787482096167339
56,57,8035.0,57,56,0.08636655940143878
32,58,8109.0,58,32,0.0779522626243021
33,58,8189.0,58,33,0.06885572556793806
34,58,8290.0,58,34,0.05737134753427853
35,58,8345.5986,58,35,0.05104941346950409
36,58,8424.3318,58,36,0.04209692007742749
37,58,8460.1967,58,37,0.03801884017901758
38,58,8521.2041,58,38,0.031081889243862237
39,58,8541.4616,58,39,0.028778475501121115
40,58,8581.3984,58,40,0.024237393237213634
41,58,8578.9859,58,41,0.024511710682819654
42,58,8604.6626,58,42,0.02159209751988045
43,58,8593.1366,58,43,0.022902681096276023
44,58,8607.4275,58,44,0.021277709828541158
45,58,8584.1927,58,45,0.023919662568506306
46,58,8584.8485,58,46,0.023845093705986642
47,58,8550.3708,58,47,0.027765439651839086
48,58,8539.0492,58,48,0.02905278157605584
49,58,8494.0439,58,49,0.034170186315840456
50,58,8469.0273,58,50,0.03701474167739349
51,58,8404.8161,58,51,0.044315986180313516
52,58,8358.116,58,52,0.04962610105763732
53,58,8282.9343,58,53,0.05817476505776775
54,58,8230.0646,58,54,0.06418640487287852
55,58,8148.623,58,55,0.0734468615269982
56,58,8089.6865,58,56,0.08014833722977821
33,59,8121.0,59,33,0.07658778206584749
34,59,8225.0,59,34,0.06476228389257421
35,59,8287.0,59,35,0.057712467673892154
36,59,8365.9963,59,36,0.0487300580455714
37,59,8408.8963,59,37,0.043852040049096264
38,59,8471.8489,59,38,0.03669390681541551
39,59,8497.6162,59,39,0.03376399182425993
40,59,8539.225,59,40,0.02903279193587438
41,59,8548.4683,59,41,0.027981766673710773
42,59,8572.9159,59,42,0.025201910431971286
43,59,8570.6514,59,43,0.025459399284022854
44,59,8584.3656,59,44,0.02390000267779324
45,59,8568.9501,59,45,0.02565284851519789
46,59,8570.6509,59,46,0.025459456137379544
47,59,8544.6397,59,47,0.028417104195885834
48,59,8533.3524,59,48,0.02970054597983951
49,59,8495.2516,59,49,0.034032862718303525
50,59,8470.5183,59,50,0.036845204968005585
51,59,8412.6821,59,51,0.043421569174246555
52,59,8367.7635,59,52,0.04852911554199657
53,59,8299.8801,59,53,0.056247913837146224
54,59,8247.9277,59,54,0.062155250484234315
55,59,8173.5711,59,55,0.0706100950752997
56,59,8116.0,59,56,0.0771563156318702
57,59,8032.0,59,57,0.08670767954105241
34,60,8180.0,60,34,0.06987908598677905
35,60,8245.0,60,35,0.06248814962848326
36,60,8330.8721,60,36,0.05272391538151078
37,60,8376.1872,60,37,0.047571284301975214
38,60,8445.7385,60,38,0.03966283457987174
39,60,8476.6938,60,39,0.03614300916061097
40,60,8522.1066,60,40,0.030979268935195314
41,60,8534.8355,60,41,0.029531907553485892
42,60,8568.3994,60,42,0.025715466802159637
43,60,8566.1045,60,43,0.025976412338292842
44,60,8587.3998,60,44,0.02355499376858794
45,60,8572.7053,60,45,0.025225857065772184
46,60,8579.9934,60,46,0.024397151169266107
47,60,8553.9012,60,47,0.027364009471541828
48,60,8550.0196,60,48,0.027805373449516613
49,60,8513.1027,60,49,0.03200307281021775
50,60,8496.0875,60,50,0.03393781527673578
51,60,8440.1203,60,51,0.040301661635997355
52,60,8400.6527,60,52,0.04478939271006932
53,60,8333.7528,60,53,0.0523963604527824
54,60,8289.2054,60,54,0.05746169888859076
55,60,8216.0,60,55,0.0657856443114152
56,60,8162.0,60,56,0.07192580682446092
57,60,8086.0,60,57,0.0805675170280068
34,61,8112.0,61,34,0.07761114248468848
35,61,8184.0,61,35,0.06942425913396078
36,61,8269.8645,61,36,0.059660889058008704
37,61,8330.7294,61,37,0.05274014132948501
38,61,8402.5235,61,38,0.04457667019100631
39,61,8439.4151,61,39,0.04038184761014929
